Category,Name,Year,Time,Date,Price,Location,ImageURL
Antique,Vintage Pocket Watch,1935,9:25 AM,12-11-2024,2000,Chennai,ant1.jpg
Antique,Carved Jewelry Box,1936,10:26 AM,13-11-2024,2500,Bangalore,ant2.jpg
Antique,Nataraja Statue,1937,11:27 AM,14-11-2024,3000,Hyderabad,ant3.jpg
Antique,Wooden Radio,1938,12:28 AM,15-11-2024,3500,Coimbatore,ant4.jpg
Antique,Typewriter,1939,13:29 AM,16-11-2024,4000,Salem,ant5.jpg
Antique,Brass Flower Vase,1940,14:30 AM,17-11-2024,4500,Madurai,ant6.jpg
Antique,Coin Collection Set,1941,9:31 AM,18-11-2024,5000,Pune,ant7.jpg
Antique,Vintage Film Camera,1942,10:32 AM,19-11-2024,5500,Kochi,ant8.jpg
Antique,Stone Idol,1943,11:33 AM,20-11-2024,6000,Mysore,ant9.jpg
Antique,Bronze Lamp,1944,12:34 AM,21-11-2024,6500,Goa,ant10.jpg
Antique,Tribal Mask,1945,13:35 AM,22-11-2024,7000,Trichy,ant11.jpg
Antique,Palm Leaf Manuscript,1946,14:36 AM,23-11-2024,7500,Delhi,ant12.jpg
Antique,Old Wooden Chest,1947,9:37 AM,24-11-2024,8000,Chennai,ant13.jpg
Antique,Handcrafted Mirror,1948,10:38 AM,25-11-2024,8500,Bangalore,ant14.jpg
Antique,Brass Buddha Statue,1949,11:39 AM,26-11-2024,9000,Hyderabad,ant15.jpg
Antique,Vintage Telephone,1950,12:40 AM,12-11-2024,9500,Coimbatore,ant16.jpg
Antique,Old Film Reel,1951,13:41 AM,13-11-2024,10000,Salem,ant17.jpg
Antique,Black & White Camera,1952,14:42 AM,14-11-2024,10500,Madurai,ant18.jpg
Antique,Brass Urn,1953,9:43 AM,15-11-2024,11000,Pune,ant19.jpg
Antique,Jewelry Case,1954,10:44 AM,16-11-2024,11500,Kochi,ant20.jpg
Antique,Ancient Sword,1955,11:45 AM,17-11-2024,12000,Mysore,ant21.jpg
Antique,Clay Pot Decor,1956,12:46 AM,18-11-2024,12500,Goa,ant22.jpg
Antique,Granite Carved Idol,1957,13:47 AM,19-11-2024,13000,Trichy,ant23.jpg
Antique,Vintage Clock,1958,14:48 AM,20-11-2024,13500,Delhi,ant24.jpg
Antique,Peacock Brass Lamp,1959,9:49 AM,21-11-2024,14000,Chennai,ant25.jpg
Antique,Rare Coin Box,1960,10:50 AM,22-11-2024,14500,Bangalore,ant26.jpg
Antique,Old Gramophone,1961,11:51 AM,23-11-2024,15000,Hyderabad,ant27.jpg
Antique,Hand-Carved Idol,1962,12:52 AM,24-11-2024,15500,Coimbatore,ant28.jpg
Antique,Pooja Bell,1963,13:53 AM,25-11-2024,16000,Salem,ant29.jpg
Antique,Vintage Compass,1964,14:54 AM,26-11-2024,16500,Madurai,ant30.jpg
