Category,Name,Year,Time,Date,Price,Location,ImageURL
Electronics,LG Split AC 1.5 Ton,2018,9:20 AM,11-11-2024,14000,Chennai,ele1.jpg
Electronics,Samsung 43 Smart TV,2019,10:21 AM,12-11-2024,16000,Bangalore,ele2.jpg
Electronics,Dell Inspiron Laptop,2020,11:22 AM,13-11-2024,18000,Hyderabad,ele3.jpg
Electronics,Sony Bravia 55 TV,2021,12:23 AM,14-11-2024,20000,Coimbatore,ele4.jpg
Electronics,Whirlpool Washing Machine,2022,13:24 AM,15-11-2024,22000,Salem,ele5.jpg
Electronics,HP Pavilion Laptop,2018,14:25 AM,16-11-2024,24000,Madurai,ele6.jpg
Electronics,Lloyd AC 1.2 Ton,2019,15:26 AM,17-11-2024,26000,Pune,ele7.jpg
Electronics,Apple MacBook Air,2020,9:27 AM,18-11-2024,28000,Kochi,ele8.jpg
Electronics,Haier Washing Machine,2021,10:28 AM,19-11-2024,30000,Mysore,ele9.jpg
Electronics,Mi LED TV 40,2022,11:29 AM,20-11-2024,32000,Goa,ele10.jpg
Electronics,Samsung Laptop i5,2018,12:30 AM,21-11-2024,34000,Delhi,ele11.jpg
Electronics,LG OLED TV 65,2019,13:31 AM,22-11-2024,36000,Trichy,ele12.jpg
Electronics,Acer Aspire 7,2020,14:32 AM,23-11-2024,38000,Chennai,ele13.jpg
Electronics,Bosch Washing Machine,2021,15:33 AM,24-11-2024,40000,Bangalore,ele14.jpg
Electronics,Panasonic AC 1.5 Ton,2022,9:34 AM,25-11-2024,42000,Hyderabad,ele15.jpg
Electronics,Redmi Notebook 15,2018,10:35 AM,11-11-2024,44000,Coimbatore,ele16.jpg
Electronics,OnePlus TV 50,2019,11:36 AM,12-11-2024,46000,Salem,ele17.jpg
Electronics,Samsung Top Load Washer,2020,12:37 AM,13-11-2024,48000,Madurai,ele18.jpg
Electronics,LG Laptop i7,2021,13:38 AM,14-11-2024,50000,Pune,ele19.jpg
Electronics,Sony Home Theatre,2022,14:39 AM,15-11-2024,52000,Kochi,ele20.jpg
Electronics,Godrej AC 1 Ton,2018,15:40 AM,16-11-2024,54000,Mysore,ele21.jpg
Electronics,Samsung 32 TV,2019,9:41 AM,17-11-2024,56000,Goa,ele22.jpg
Electronics,HP EliteBook,2020,10:42 AM,18-11-2024,58000,Delhi,ele23.jpg
Electronics,IFB Washing Machine,2021,11:43 AM,19-11-2024,60000,Trichy,ele24.jpg
Electronics,Acer Chromebook,2022,12:44 AM,20-11-2024,62000,Chennai,ele25.jpg
Electronics,Mi QLED TV 55,2018,13:45 AM,21-11-2024,64000,Bangalore,ele26.jpg
Electronics,LG Direct Drive Washer,2019,14:46 AM,22-11-2024,66000,Hyderabad,ele27.jpg
Electronics,Lenovo IdeaPad 3,2020,15:47 AM,23-11-2024,68000,Coimbatore,ele28.jpg
Electronics,Panasonic LED TV 43,2021,9:48 AM,24-11-2024,70000,Salem,ele29.jpg
Electronics,VivoBook Laptop,2022,10:49 AM,25-11-2024,72000,Madurai,ele30.jpg
